template_id,template,dof,first_failing_filter_or_status
292,"(1,1) + (3,1) + (3,2) + (3b,1) + (6,1)",57,F4_SU3_cubic
293,"(1,1) + (3,1) + (3,2) + (3b,1) + (6b,1)",57,F4_SU3_cubic
294,"(1,1) + (3,1) + (3b,1) + (3b,2) + (6,1)",57,F4_SU3_cubic
295,"(1,1) + (3,1) + (3b,1) + (3b,2) + (6b,1)",57,F4_SU3_cubic
296,"(1,1) + (3,1) + (3b,1) + (6,2)",57,F1_SU3_AF
297,"(1,1) + (3,1) + (3b,1) + (6b,2)",57,F1_SU3_AF
298,"(1,1) + (3,2) + (3b,1) + (3b,1) + (6,1)",57,F4_SU3_cubic
299,"(1,1) + (3,2) + (3b,1) + (3b,1) + (6b,1)",57,F4_SU3_cubic
300,"(1,1) + (3,2) + (6,1) + (6,1)",57,F1_SU3_AF
301,"(1,1) + (3,2) + (6,1) + (6b,1)",57,F1_SU3_AF
302,"(1,1) + (3,2) + (6b,1) + (6b,1)",57,F1_SU3_AF
303,"(1,1) + (3b,1) + (3b,1) + (3b,2) + (6,1)",57,F4_SU3_cubic
304,"(1,1) + (3b,1) + (3b,1) + (3b,2) + (6b,1)",57,F4_SU3_cubic
305,"(1,1) + (3b,1) + (3b,1) + (6,2)",57,F1_SU3_AF
306,"(1,1) + (3b,1) + (3b,1) + (6b,2)",57,F1_SU3_AF
307,"(1,1) + (3b,2) + (6,1) + (6,1)",57,F1_SU3_AF
308,"(1,1) + (3b,2) + (6,1) + (6b,1)",57,F1_SU3_AF
309,"(1,1) + (3b,2) + (6b,1) + (6b,1)",57,F1_SU3_AF
310,"(1,1) + (6,1) + (6,2)",57,F1_SU3_AF
311,"(1,1) + (6,1) + (6b,2)",57,F1_SU3_AF
312,"(1,1) + (6,2) + (6b,1)",57,F1_SU3_AF
313,"(1,1) + (6b,1) + (6b,2)",57,F1_SU3_AF
314,"(1,2) + (3,1) + (3,2) + (8,1)",57,F4_SU3_cubic
315,"(1,2) + (3,1) + (3b,2) + (8,1)",57,F4_SU3_cubic
316,"(1,2) + (3,2) + (3b,1) + (8,1)",57,F4_SU3_cubic
317,"(1,2) + (3b,1) + (3b,2) + (8,1)",57,F4_SU3_cubic
318,"(3,1) + (8,2)",57,F1_SU3_AF
319,"(3b,1) + (8,2)",57,F1_SU3_AF
320,"(1,1) + (1,1) + (1,2) + (8,2)",60,F1_SU3_AF
321,"(1,1) + (1,1) + (3,1) + (3,1) + (3,2) + (6,1)",60,F4_SU3_cubic
322,"(1,1) + (1,1) + (3,1) + (3,1) + (3,2) + (6b,1)",60,F4_SU3_cubic
323,"(1,1) + (1,1) + (3,1) + (3,1) + (3b,2) + (6,1)",60,F4_SU3_cubic
324,"(1,1) + (1,1) + (3,1) + (3,1) + (3b,2) + (6b,1)",60,F4_SU3_cubic
325,"(1,1) + (1,1) + (3,1) + (3,1) + (6,2)",60,F1_SU3_AF
326,"(1,1) + (1,1) + (3,1) + (3,1) + (6b,2)",60,F1_SU3_AF
327,"(1,1) + (1,1) + (3,1) + (3,2) + (3b,1) + (6,1)",60,F4_SU3_cubic
328,"(1,1) + (1,1) + (3,1) + (3,2) + (3b,1) + (6b,1)",60,F4_SU3_cubic
329,"(1,1) + (1,1) + (3,1) + (3b,1) + (3b,2) + (6,1)",60,F4_SU3_cubic
330,"(1,1) + (1,1) + (3,1) + (3b,1) + (3b,2) + (6b,1)",60,F4_SU3_cubic
331,"(1,1) + (1,1) + (3,1) + (3b,1) + (6,2)",60,F1_SU3_AF
332,"(1,1) + (1,1) + (3,1) + (3b,1) + (6b,2)",60,F1_SU3_AF
333,"(1,1) + (1,1) + (3,2) + (3b,1) + (3b,1) + (6,1)",60,F4_SU3_cubic
334,"(1,1) + (1,1) + (3,2) + (3b,1) + (3b,1) + (6b,1)",60,F4_SU3_cubic
335,"(1,1) + (1,1) + (3,2) + (6,1) + (6,1)",60,F1_SU3_AF
